Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_N2_[-]
220.0,140.99616886876206,1.9397203062956387,18.841824098089788,0.7546421189485603,0.21186908789970052,990.4615500684678,353.5588931223745,1.1699968092161754
220.0,141.28054352743797,1.9283337900034057,18.877547415865507,0.7540907529237255,0.21217084151228682,990.0705049030352,354.43500281979857,1.1685855444870485
220.0,141.56471566558588,1.9169983765481582,18.91346336322028,0.7535393868988909,0.21247327159663487,989.6793581362219,355.31053545248983,1.16718135130456
220.0,141.848683826219,1.9057138941397938,18.94935035962375,0.7529880208740563,0.2127763739016318,989.2881092538453,356.18548521939147,1.1657842009384192
220.0,142.1324465512821,1.8944801707421264,18.98520960094917,0.7524366548492215,0.21308014422362515,988.8967577397206,357.0598464026885,1.1643940646642896
220.0,142.41600238174513,1.883297034182138,19.02104227648222,0.7518852888243868,0.2133845784062243,988.5053030756867,357.93361336766264,1.1630139506905905
220.0,142.69934985766838,1.8721643126278893,19.057093228383444,0.7513339227995521,0.2136896723400536,988.1137447416238,358.80678056243966,1.16164952814051
220.0,142.9824875182359,1.861081834676592,19.093519021113647,0.7507825567747174,0.2139954219624595,987.7220822154578,359.67934251766764,1.1602918943277247
220.0,143.26541390194024,1.850049429833381,19.129917747806566,0.7502311907498826,0.21430182325738598,987.3303149732062,360.5512938464488,1.158941021723805
220.0,143.54812754654816,1.839066929255402,19.16629060446213,0.749679824725048,0.2146088722550155,986.9384424889763,361.4226292439069,1.157596882752787
220.0,143.83062698922984,1.8281341665901496,19.202638776284545,0.7491284587002134,0.21491656503156378,986.5464642349853,362.29334348694164,1.1562594497551024
220.0,144.11291076664077,1.8172507986490591,19.23925919916456,0.7485770926753786,0.21522489770906325,986.1543796815932,363.16343143402827,1.1549327576248039
220.0,144.39497741494532,1.806416869864975,19.2759101512953,0.7480257266505439,0.21553386645499836,985.7621882972974,364.03288802470524,1.1536200813575666
220.0,144.67682546994882,1.7956322094549824,19.31282113534361,0.7474743606257093,0.21584346748215608,985.3698895487729,364.90170827944127,1.15231389361801
220.0,144.95845346714844,1.7848966654854261,19.34972158277312,0.7469229946008745,0.21615369704834217,984.9774829008915,365.76988729928036,1.151014165093951
220.0,145.23985994176255,1.77420986187148,19.38664618014137,0.7463716285760398,0.21646455145600907,984.5849678167067,366.63742026528536,1.1497208815279745
220.0,145.5210434288782,1.7635718441092954,19.423852195613286,0.7458202625512051,0.21677602705212862,984.1923437575159,367.5043024384434,1.1484340042275083
220.0,145.80200246345117,1.752982531802225,19.461035531317926,0.7452688965263705,0.2170881202278183,983.7996101828455,368.37052915910385,1.1471608502812183
220.0,146.08273558042225,1.74244072917976,19.498204375918043,0.7447175305015358,0.21740082741811112,983.4067665504875,369.2360958466915,1.1458979671810763
220.0,146.36324131475695,1.7319478529861927,19.53559092105923,0.744166164476701,0.21771414510165205,983.0138123165019,370.1009979992429,1.144640886428692
