Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_AR_[-]
223.07,57.68404889461428,7.109533062762731,11.23804595240886,0.8673025334001075,0.1919142425701283,1116.8553753125652,159.8061058240127,2.127608331828087
223.07,58.12262889182679,7.057632189111582,11.281286405171087,0.866096192794654,0.19133826730910258,1116.5369893203972,161.28397618082542,2.120332358308798
223.07,58.56079288050443,7.005978683343984,11.324321889937885,0.8648898521892004,0.19077752001826634,1116.217735820925,162.766013227458,2.1131069673236014
223.07,58.99854152323738,6.954571632206172,11.368375723012612,0.8636835115837469,0.1902316909901003,1115.897612278075,164.25224355044372,2.1059316928709713
223.07,59.43587549119055,6.903410107815838,11.412345439205815,0.8624771709782934,0.18970048067385337,1115.5766161507495,165.74269385374666,2.0988081155569924
223.07,59.87279546403796,6.852493225656551,11.456121942855972,0.8612708303728398,0.18918359928586276,1115.2547448928524,167.2373909545426,2.09175089477026
223.07,60.30930212984249,6.801820079642874,11.500748941580085,0.8600644897673861,0.18868076643778425,1114.931995953277,168.7363617787307,2.084744202727378
223.07,60.74539618495896,6.751389785047357,11.545169199415504,0.8588581491619326,0.1881917107817868,1114.6083667759249,170.23963335631544,2.077785307880917
223.07,61.18107833390273,6.701201467878141,11.589564349778279,0.857651808556479,0.18771616967176893,1114.2838547997014,171.7472328164865,2.070873778593849
223.07,61.61634928927243,6.651254247655036,11.634642639648916,0.8564454679510255,0.1872538888398266,1113.9584574585283,173.25918738258116,2.064009181923262
223.07,62.05120977158651,6.6015473042703325,11.679518167731871,0.855239127345572,0.18680462208708576,1113.6321721813415,174.77552436673344,2.0571911034745223
223.07,62.48566050919883,6.552079773586839,11.724559285855499,0.8540327867401183,0.1863681309882072,1113.3049963920914,176.2962711643317,2.0504191178496685
223.07,62.919702238139806,6.502850819635551,11.770208362880915,0.8528264461346647,0.1859441846088525,1112.97692750975,177.82145524823395,2.0436928072438865
223.07,63.3533357019984,6.453859611938325,11.815832331701237,0.8516201055292112,0.18553255923539863,1112.6479629483022,179.35110416272502,2.0370117578537865
223.07,63.7865616517467,6.405105333421829,11.861836130041894,0.8504137649237576,0.1851330381163481,1112.3181001167457,180.88524551722352,2.0303755604831575
223.07,64.21938084564276,6.356587176460181,11.908113722156926,0.8492074243183041,0.18474541121476643,1111.9873364190944,182.42390697972502,2.0237838089891134
223.07,64.65179404902726,6.30830434185515,11.95419572956802,0.8480010837128504,0.18436947497126138,1111.6556692543606,183.9671162699922,2.017236100904261
